"x";"y";"z"
"Ninguno";"Hombre";9.67432736357872
"Ninguno";"Mujer";5.78175603090878
"Preprimaria";"Hombre";0.213679374858
"Preprimaria";"Mujer";0.15112400955984
"Primaria";"Hombre";29.0208446636759
"Primaria";"Mujer";12.1630999342147
"Básico";"Hombre";8.50371397742719
"Básico";"Mujer";3.60975015060944
"Diversificado";"Hombre";12.5497209074407
"Diversificado";"Mujer";9.14673120113109
"Superior";"Hombre";4.70512610423836
"Superior";"Mujer";3.85355933062118
"Maestría";"Hombre";0.219363347559098
"Maestría";"Mujer";0.135592039588316
"Doctorado";"Hombre";0.0300823067746146
