x;y
Agricultura, ganadería, silvicultura y pesca;87.14745408906
Industrias manufactureras, explotación de minas y canteras, y otras actividades industriales;56.0121973470442
Construcción;64.7375096414821
Comercio al por mayor y al por menor, transporte y almacenamiento, actividades de alojamiento y de servicio de comidas;51.7106767121509
Información y comunicaciones;6.25305052364417
Actividades financieras y de seguros;10.8931306704371
Actividades inmobiliarias;29.5333333333333
Actividades profesionales, científicas, técnicas, y de servicios administrativos y de apoyo;27.69067850029
Actividades de administración pública y defensa, de enseñanza, actividades de atención en salud,...;11.859889094832
Otras actividades de servicios;66.9439072034934
